"titles_midwest","word","n","total","tf","idf","tf_idf"
"Grim forecast in Minnesota climate adaptation report","the",76,1451,0.0523776705720193,0,0
"Climate change: when local is global.","the",71,1506,0.0471447543160691,0,0
"Climate change: when local is global.","and",67,1506,0.0444887118193891,0,0
"Climate change: call it what you will, farmers face new challenges.","the",65,1653,0.0393224440411373,0,0
"Scientists offer new estimate for how people altered planet","the",61,961,0.0634755463059313,0,0
"K-State experts outline climate change effects on Kansas","the",56,1400,0.04,0,0
"WANTED: LEADERS WILLING TO FACE CLIMATE CHANGE","and",49,1115,0.0439461883408072,0,0
"Grim forecast in Minnesota climate adaptation report","to",48,1451,0.0330806340454859,0,0
"Report: Climate change could increase migration","the",48,976,0.0491803278688525,0,0
"Climate change, logging collide","the",47,1103,0.042611060743427,0,0
"Climate change could force 200 million to move","the",45,910,0.0494505494505494,0,0
"Climate change: call it what you will, farmers face new challenges.","and",45,1653,0.0272232304900181,0,0
"WANTED: LEADERS WILLING TO FACE CLIMATE CHANGE","the",45,1115,0.0403587443946188,0,0
"Grim forecast in Minnesota climate adaptation report","of",43,1451,0.0296347346657478,0,0
"Climate change: call it what you will, farmers face new challenges.","to",41,1653,0.0248033877797943,0,0
"Climate change: when local is global.","of",40,1506,0.0265604249667995,0,0
"Analysis says climate rules to slow growth","the",34,836,0.0406698564593301,0,0
"WANTED: LEADERS WILLING TO FACE CLIMATE CHANGE","of",34,1115,0.0304932735426009,0,0
"Bipartisan action, leadership on climate change","and",33,875,0.0377142857142857,0,0
"Climate change: when local is global.","change",33,1506,0.0219123505976096,0,0
"Grim forecast in Minnesota climate adaptation report","and",33,1451,0.0227429359062715,0,0
"K-State experts outline climate change effects on Kansas","and",33,1400,0.0235714285714286,0,0
"South Dakota Board of Education passes science standards","the",33,752,0.0438829787234043,0,0
"Climate change: when local is global.","climate",32,1506,0.0212483399734396,0,0
"K-State experts outline climate change effects on Kansas","to",32,1400,0.0228571428571429,0,0
"WANTED: LEADERS WILLING TO FACE CLIMATE CHANGE","to",32,1115,0.0286995515695067,0,0
"Climate change: when local is global.","to",31,1506,0.0205843293492696,0,0
"K-State experts outline climate change effects on Kansas","of",31,1400,0.0221428571428571,0,0
"Scientists offer new estimate for how people altered planet","of",31,961,0.032258064516129,0,0
"Organic tackles 'existential threat' of climate change","the",30,798,0.037593984962406,0,0
"Climate change: when local is global.","in",29,1506,0.0192563081009296,0,0
"K-State experts outline climate change effects on Kansas","in",29,1400,0.0207142857142857,0,0
"Report: Climate change could increase migration","and",29,976,0.0297131147540984,0,0
"Climate change, logging collide","to",28,1103,0.0253853127833182,0,0
"Climate change could force 200 million to move","and",27,910,0.0296703296703297,0,0
"Climate change: call it what you will, farmers face new challenges.","in",27,1653,0.0163339382940109,0,0
"Climate change: call it what you will, farmers face new challenges.","of",27,1653,0.0163339382940109,0,0
"Climate change: when local is global.","local",27,1506,0.0179282868525896,1.09861228866811,0.0196962362510219
"On St. Louis visit, US secretary of agriculture talks climate change","the",27,912,0.0296052631578947,0,0
"Organic tackles 'existential threat' of climate change","and",27,798,0.0338345864661654,0,0
"Climate change: when local is global.","is",26,1506,0.0172642762284197,0,0
"Grim forecast in Minnesota climate adaptation report","climate",26,1451,0.0179186767746382,0,0
"K-State experts outline climate change effects on Kansas","said",26,1400,0.0185714285714286,0.143100843640673,0.00265758709618393
"Organic tackles 'existential threat' of climate change","climate",26,798,0.0325814536340852,0,0
"Climate change could force 200 million to move","to",25,910,0.0274725274725275,0,0
"Climate change, logging collide","of",25,1103,0.0226654578422484,0,0
"On St. Louis visit, US secretary of agriculture talks climate change","of",25,912,0.0274122807017544,0,0
"On St. Louis visit, US secretary of agriculture talks climate change","to",25,912,0.0274122807017544,0,0
"Report: Climate change could increase migration","to",25,976,0.0256147540983607,0,0
"Bipartisan action, leadership on climate change","the",24,875,0.0274285714285714,0,0
"Climate change, logging collide","and",24,1103,0.0217588395285585,0,0
"Climate change: call it what you will, farmers face new challenges.","that",24,1653,0.014519056261343,0,0
"Grim forecast in Minnesota climate adaptation report","in",24,1451,0.0165403170227429,0,0
"Organic tackles 'existential threat' of climate change","change",24,798,0.0300751879699248,0,0
"Organic tackles 'existential threat' of climate change","to",24,798,0.0300751879699248,0,0
"Climate change, logging collide","forest",23,1103,0.0208522212148685,1.32175583998232,0.0275615451673557
"Climate change: call it what you will, farmers face new challenges.","a",23,1653,0.0139140955837871,0,0
"Grim forecast in Minnesota climate adaptation report","a",23,1451,0.0158511371467953,0,0
"Report: Climate change could increase migration","of",23,976,0.0235655737704918,0,0
"Climate change could force 200 million to move","of",22,910,0.0241758241758242,0,0
"Climate change: call it what you will, farmers face new challenges.","climate",21,1653,0.0127041742286751,0,0
"Scientists offer new estimate for how people altered planet","and",21,961,0.0218522372528616,0,0
"Analysis says climate rules to slow growth","78",20,836,0.0239234449760766,0.0689928714869514,0.0016505471647596
"Climate change is real, and it requires us to act","the",20,615,0.032520325203252,0,0
"On St. Louis visit, US secretary of agriculture talks climate change","a",20,912,0.0219298245614035,0,0
"Report: Climate change could increase migration","climate",20,976,0.0204918032786885,0,0
"South Dakota Board of Education passes science standards","of",20,752,0.0265957446808511,0,0
"WANTED: LEADERS WILLING TO FACE CLIMATE CHANGE","climate",20,1115,0.0179372197309417,0,0
"Bipartisan action, leadership on climate change","climate",19,875,0.0217142857142857,0,0
"Climate change could force 200 million to move","climate",19,910,0.0208791208791209,0,0
"Climate change, logging collide","in",19,1103,0.0172257479601088,0,0
"Climate change: call it what you will, farmers face new challenges.","agriculture",19,1653,0.0114942528735632,0.510825623765991,0.00587155889386196
"Climate change: call it what you will, farmers face new challenges.","arkansas",19,1653,0.0114942528735632,2.70805020110221,0.0311270138057725
"K-State experts outline climate change effects on Kansas","climate",19,1400,0.0135714285714286,0,0
"K-State experts outline climate change effects on Kansas","rice",19,1400,0.0135714285714286,2.01490302054226,0.027345112421645
