"titles_south","word","n","total","tf","idf","tf_idf"
"Industrial Evolution","the",258,4393,0.0587297974049624,0,0
"Is Climate Change Denial Thawing in Texas?","the",163,2881,0.0565775772301284,0,0
"Industrial Evolution","to",129,4393,0.0293648987024812,0,0
"WHAT WOULD DARWIN DO?","the",123,1820,0.0675824175824176,0,0
"Industrial Evolution","of",120,4393,0.0273161848395174,0,0
"Industrial Evolution","a",102,4393,0.0232187571135898,0,0
"Industrial Evolution","and",99,4393,0.0225358524926019,0,0
"High and Dry","the",88,1628,0.0540540540540541,0,0
"Is Climate Change Denial Thawing in Texas?","of",81,2881,0.028115237764665,0,0
"Industrial Evolution","water",76,4393,0.017300250398361,0.575364144903562,0.0099539437770705
"Is Climate Change Denial Thawing in Texas?","to",73,2881,0.0253384241582784,0,0
"Is Climate Change Denial Thawing in Texas?","and",67,2881,0.0232558139534884,0,0
"Oklahoma faith community to discuss climate and environment","the",66,1057,0.0624408703878903,0,0
"Industrial Evolution","in",65,4393,0.0147962667880719,0,0
"Is Climate Change Denial Thawing in Texas?","a",65,2881,0.0225616105518917,0,0
"Climate change talk subtle in state","the",64,1549,0.0413169786959329,0,0
"Industrial Evolution","that",64,4393,0.0145686319144093,0,0
"High and Dry","of",62,1628,0.0380835380835381,0,0
"WHAT WOULD DARWIN DO?","of",59,1820,0.0324175824175824,0,0
"Climate-change science proven and certain as dangers to planet grow","the",53,978,0.0541922290388548,0,0
"Climate change: Just deal with it","the",52,827,0.0628778718258767,0,0
"Is Climate Change Denial Thawing in Texas?","in",52,2881,0.0180492884415134,0,0
"Climate change talk subtle in state","to",51,1549,0.0329244673983215,0,0
"High and Dry","and",49,1628,0.0300982800982801,0,0
"Hot or cold?","the",49,1298,0.0377503852080123,0,0
"High and Dry","to",47,1628,0.0288697788697789,0,0
"Is Climate Change Denial Thawing in Texas?","that",46,2881,0.0159666782367234,0,0
"WHAT WOULD DARWIN DO?","and",46,1820,0.0252747252747253,0,0
"Industrial Evolution","texas",44,4393,0.0100159344411564,0,0
"Industrial Evolution","is",42,4393,0.00956066469383109,0,0
"Strong tornadoes not linked to climate change, experts say","the",42,969,0.043343653250774,0,0
"WHAT WOULD DARWIN DO?","in",42,1820,0.0230769230769231,0,0
"High and Dry","a",41,1628,0.0251842751842752,0,0
"WHAT WOULD DARWIN DO?","to",41,1820,0.0225274725274725,0,0
"Industrial Evolution","for",40,4393,0.00910539494650581,0,0
"POWER SHIFT","the",40,868,0.0460829493087558,0,0
"High and Dry","in",38,1628,0.0233415233415233,0,0
"Why global climate change solutions shouldn‘t be government-led","the",38,832,0.0456730769230769,0,0
"Is Climate Change Denial Thawing in Texas?","climate",37,2881,0.0128427629295384,0,0
"Climate-change science proven and certain as dangers to planet grow","and",36,978,0.0368098159509202,0,0
"Hot or cold?","to",36,1298,0.0277349768875193,0,0
"Climate change talk subtle in state","of",35,1549,0.0225952227243383,0,0
"Industrial Evolution","it",35,4393,0.00796722057819258,0.0645385211375712,0.000514192633693374
"Legislature must act boldly on climate change","the",35,923,0.037919826652221,0,0
"Climate change talk subtle in state","and",33,1549,0.0213040671400904,0,0
"Is Climate Change Denial Thawing in Texas?","texas",33,2881,0.011454356126345,0,0
"Climate change talk subtle in state","oklahoma",32,1549,0.0206584893479664,0,0
"Oklahoma faith community to discuss climate and environment","of",32,1057,0.0302743614001892,0,0
"High and Dry","that",31,1628,0.019041769041769,0,0
"Industrial Evolution","was",31,4393,0.007056681083542,0.470003629245736,0.00331666571969447
"WHAT WOULD DARWIN DO?","a",31,1820,0.017032967032967,0,0
"Climate change talk subtle in state","climate",29,1549,0.0187217559715946,0,0
"Industrial Evolution","with",29,4393,0.00660141133621671,0,0
"Legislature must act boldly on climate change","of",29,923,0.0314192849404117,0,0
"Fight climate change - for justice and health","and",28,875,0.032,0,0
"Industrial Evolution","by",28,4393,0.00637377646255406,0,0
"Oklahoma faith community to discuss climate and environment","and",28,1057,0.0264900662251656,0,0
"POWER SHIFT","and",28,868,0.032258064516129,0,0
"Is Climate Change Denial Thawing in Texas?","change",27,2881,0.00937174592155502,0,0
"WHAT WOULD DARWIN DO?","climate",27,1820,0.0148351648351648,0,0
"Industrial Evolution","has",26,4393,0.00591850671522877,0.0645385211375712,0.000381971670743649
"Industrial Evolution","on",26,4393,0.00591850671522877,0,0
"Is Climate Change Denial Thawing in Texas?","is",26,2881,0.00902464422075668,0,0
"Industrial Evolution","as",25,4393,0.00569087184156613,0,0
"Oklahoma faith community to discuss climate and environment","climate",25,1057,0.0236518448438978,0,0
"Why global climate change solutions shouldn‘t be government-led","of",25,832,0.0300480769230769,0,0
"Climate change talk subtle in state","energy",24,1549,0.0154938670109748,0.374693449441411,0.00580545047552864
"Climate-change science proven and certain as dangers to planet grow","of",24,978,0.0245398773006135,0,0
"Is Climate Change Denial Thawing in Texas?","as",24,2881,0.00833044081916001,0,0
"Climate change talk subtle in state","change",23,1549,0.0148482892188509,0,0
"Hot or cold?","and",23,1298,0.0177195685670262,0,0
"Industrial Evolution","plant",23,4393,0.00523560209424084,2.07944154167984,0.0108871284904703
"Is Climate Change Denial Thawing in Texas?","on",23,2881,0.00798333911836168,0,0
"Legislature must act boldly on climate change","to",23,923,0.0249187432286024,0,0
"Strong tornadoes not linked to climate change, experts say","climate",23,969,0.0237358101135191,0,0
"Action needed on climate change to protect tourism, agriculture","the",22,703,0.0312944523470839,0,0
"Climate change talk subtle in state","in",22,1549,0.0142027114267269,0,0
"Hot or cold?","of",22,1298,0.0169491525423729,0,0
"Industrial Evolution","but",22,4393,0.00500796722057819,0.133531392624523,0.000668720837181766
"Industrial Evolution","from",22,4393,0.00500796722057819,0.133531392624523,0.000668720837181766
"Industrial Evolution","have",22,4393,0.00500796722057819,0,0
"Industrial Evolution","he",22,4393,0.00500796722057819,0.693147180559945,0.0034712583592804
"Is Climate Change Denial Thawing in Texas?","at",22,2881,0.00763623741756335,0,0
"Legislature must act boldly on climate change","and",22,923,0.0238353196099675,0,0
"Strong tornadoes not linked to climate change, experts say","change",22,969,0.022703818369453,0,0
"Strong tornadoes not linked to climate change, experts say","of",22,969,0.022703818369453,0,0
"Climate change talk subtle in state","a",21,1549,0.013557133634603,0,0
"Climate change talk subtle in state","state",21,1549,0.013557133634603,0.207639364778245,0.00281499461610273
"Climate change: Just deal with it","to",21,827,0.0253929866989117,0,0
"Oklahoma faith community to discuss climate and environment","oklahoma",21,1057,0.0198675496688742,0,0
"Oklahoma faith community to discuss climate and environment","to",21,1057,0.0198675496688742,0,0
