"NE_articles","word","n","total","tf","idf","tf_idf"
"Northeast Article 3","the",225,3434,0.0655212580081538,0,0
"Northeast Article 12","the",220,2957,0.0743997294555293,0,0
"Northeast Article 13","the",131,1929,0.0679108346293416,0,0
"Northeast Article 3","and",118,3434,0.0343622597553873,0,0
"Northeast Article 12","to",103,2957,0.0348326006087251,0,0
"Northeast Article 3","of",94,3434,0.0273733255678509,0,0
"Northeast Article 11","the",85,1270,0.0669291338582677,0,0
"Northeast Article 3","to",84,3434,0.0244612696563774,0,0
"Northeast Article 12","of",77,2957,0.0260399053094352,0,0
"Northeast Article 8","the",76,1018,0.0746561886051081,0,0
"Northeast Article 13","of",64,1929,0.033177812337999,0,0
"Northeast Article 3","a",63,3434,0.0183459522422831,0,0
"Northeast Article 2","the",62,1015,0.0610837438423645,0,0
"Northeast Article 15","the",61,936,0.0651709401709402,0,0
"Northeast Article 12","a",59,2957,0.0199526547176192,0,0
"Northeast Article 5","the",59,1056,0.0558712121212121,0,0
"Northeast Article 3","in",54,3434,0.0157251019219569,0,0
"Northeast Article 12","and",53,2957,0.0179235711870139,0,0
"Northeast Article 12","in",53,2957,0.0179235711870139,0,0
"Northeast Article 14","the",53,966,0.0548654244306418,0,0
"Northeast Article 5","to",51,1056,0.0482954545454545,0,0
"Northeast Article 7","the",50,1230,0.040650406504065,0,0
"Northeast Article 12","climate",48,2957,0.0162326682448427,0,0
"Northeast Article 13","climate",48,1929,0.0248833592534992,0,0
"Northeast Article 13","to",46,1929,0.0238465526179368,0,0
"Northeast Article 3","that",45,3434,0.0131042516016308,0,0
"Northeast Article 1","the",42,700,0.06,0,0
"Northeast Article 12","paris",42,2957,0.0142035847142374,1.32175583998232,0.0187736710447269
"Northeast Article 12","that",42,2957,0.0142035847142374,0,0
"Northeast Article 10","the",41,731,0.0560875512995896,0,0
"Northeast Article 7","to",40,1230,0.032520325203252,0,0
"Northeast Article 14","and",39,966,0.0403726708074534,0,0
"Northeast Article 12","u.s",38,2957,0.0128508623605005,0.916290731874155,0.011775126077517
"Northeast Article 13","that",38,1929,0.0196993260756869,0,0
"Northeast Article 15","climate",38,936,0.0405982905982906,0,0
"Northeast Article 13","and",37,1929,0.0191809227579057,0,0
"Northeast Article 7","and",37,1230,0.0300813008130081,0,0
"Northeast Article 11","and",35,1270,0.0275590551181102,0,0
"Northeast Article 12","says",35,2957,0.0118363205951978,1.09861228866811,0.0130035272584998
"Northeast Article 3","was",33,3434,0.00960978450786255,0.405465108108164,0.00389643231437665
"Northeast Article 11","of",32,1270,0.0251968503937008,0,0
"Northeast Article 15","and",32,936,0.0341880341880342,0,0
"Northeast Article 3","climate",32,3434,0.0093185789167152,0,0
"Northeast Article 7","a",32,1230,0.0260162601626016,0,0
"Northeast Article 15","change",31,936,0.0331196581196581,0,0
"Northeast Article 15","of",31,936,0.0331196581196581,0,0
"Northeast Article 7","of",31,1230,0.0252032520325203,0,0
"Northeast Article 8","to",31,1018,0.0304518664047151,0,0
"Northeast Article 12","decision",30,2957,0.0101454176530267,1.6094379124341,0.0163284198082594
"Northeast Article 3","for",30,3434,0.0087361677344205,0.0689928714869514,0.000602733297789325
"Northeast Article 1","to",29,700,0.0414285714285714,0,0
"Northeast Article 10","of",29,731,0.039671682626539,0,0
