NE_articles,word,n,total,tf,idf,tf_idf
Northeast Article 3,the,225,3434,0.065521258,0,0
Northeast Article 12,the,220,2957,0.074399729,0,0
Northeast Article 13,the,128,1826,0.070098576,0,0
Northeast Article 3,and,118,3434,0.03436226,0,0
Northeast Article 12,to,103,2957,0.034832601,0,0
Northeast Article 3,of,94,3434,0.027373326,0,0
Northeast Article 11,the,85,1270,0.066929134,0,0
Northeast Article 3,to,84,3434,0.02446127,0,0
Northeast Article 12,of,77,2957,0.026039905,0,0
Northeast Article 8,the,76,1018,0.074656189,0,0
Northeast Article 3,a,63,3434,0.018345952,0,0
Northeast Article 13,of,62,1826,0.033953998,0,0
Northeast Article 2,the,62,1015,0.061083744,0,0
Northeast Article 15,the,61,936,0.06517094,0,0
Northeast Article 12,a,59,2957,0.019952655,0,0
Northeast Article 5,the,59,1056,0.055871212,0,0
Northeast Article 3,in,54,3434,0.015725102,0,0
Northeast Article 12,and,53,2957,0.017923571,0,0
Northeast Article 12,in,53,2957,0.017923571,0,0
Northeast Article 14,the,51,639,0.079812207,0,0
Northeast Article 5,to,51,1056,0.048295455,0,0
Northeast Article 7,the,50,1230,0.040650407,0,0
Northeast Article 12,climate,48,2957,0.016232668,0,0
Northeast Article 13,to,46,1826,0.025191676,0,0
Northeast Article 13,climate,45,1826,0.024644031,0,0
Northeast Article 3,that,45,3434,0.013104252,0,0
Northeast Article 1,the,42,700,0.06,0,0
Northeast Article 12,paris,42,2957,0.014203585,1.32175584,0.018773671
Northeast Article 12,that,42,2957,0.014203585,0,0
Northeast Article 10,the,41,731,0.056087551,0,0
Northeast Article 7,to,40,1230,0.032520325,0,0
Northeast Article 12,u.s,38,2957,0.012850862,0.916290732,0.011775126
Northeast Article 13,that,38,1826,0.020810515,0,0
Northeast Article 15,climate,38,936,0.040598291,0,0
Northeast Article 7,and,37,1230,0.030081301,0,0
Northeast Article 13,and,36,1826,0.019715225,0,0
Northeast Article 11,and,35,1270,0.027559055,0,0
Northeast Article 12,says,35,2957,0.011836321,1.098612289,0.013003527
Northeast Article 3,was,33,3434,0.009609785,0.405465108,0.003896432
Northeast Article 11,of,32,1270,0.02519685,0,0
Northeast Article 14,and,32,639,0.050078247,0,0
Northeast Article 15,and,32,936,0.034188034,0,0
Northeast Article 3,climate,32,3434,0.009318579,0,0
Northeast Article 7,a,32,1230,0.02601626,0,0
Northeast Article 15,change,31,936,0.033119658,0,0
Northeast Article 15,of,31,936,0.033119658,0,0
Northeast Article 7,of,31,1230,0.025203252,0,0
Northeast Article 8,to,31,1018,0.030451866,0,0
Northeast Article 12,decision,30,2957,0.010145418,1.609437912,0.01632842
Northeast Article 3,for,30,3434,0.008736168,0.068992871,0.000602733
Northeast Article 1,to,29,700,0.041428571,0,0
Northeast Article 10,of,29,731,0.039671683,0,0
Northeast Article 12,from,29,2957,0.009807237,0.068992871,0.000676629
Northeast Article 13,in,28,1826,0.015334064,0,0
Northeast Article 2,a,28,1015,0.027586207,0,0
Northeast Article 2,of,28,1015,0.027586207,0,0
Northeast Article 12,he,27,2957,0.009130876,0.628608659,0.005739748
Northeast Article 8,of,27,1018,0.026522593,0,0
Northeast Article 10,to,26,731,0.035567715,0,0
Northeast Article 11,to,26,1270,0.020472441,0,0
Northeast Article 12,by,26,2957,0.008792695,0,0
Northeast Article 12,president,26,2957,0.008792695,0.916290732,0.008056665
Northeast Article 2,and,26,1015,0.025615764,0,0
Northeast Article 2,in,26,1015,0.025615764,0,0
Northeast Article 12,is,25,2957,0.008454515,0,0
Northeast Article 13,change,25,1826,0.013691128,0,0
Northeast Article 3,is,25,3434,0.00728014,0,0
Northeast Article 8,and,25,1018,0.024557957,0,0
Northeast Article 3,it,24,3434,0.006988934,0.068992871,0.000482187
Northeast Article 12,donald,23,2957,0.007778154,2.014903021,0.015672225
Northeast Article 12,said,23,2957,0.007778154,0.310154928,0.002412433
Northeast Article 12,trump,23,2957,0.007778154,1.609437912,0.012518455
Northeast Article 2,to,23,1015,0.022660099,0,0
Northeast Article 3,her,23,3434,0.006697729,2.014903021,0.013495274
Northeast Article 3,on,23,3434,0.006697729,0,0
Northeast Article 3,she,23,3434,0.006697729,1.098612289,0.007358207
Northeast Article 15,to,22,936,0.023504274,0,0
Northeast Article 2,is,22,1015,0.021674877,0,0
Northeast Article 12,change,21,2957,0.007101792,0,0
Northeast Article 12,on,21,2957,0.007101792,0,0
Northeast Article 14,to,21,639,0.03286385,0,0
Northeast Article 2,climate,21,1015,0.020689655,0,0
Northeast Article 3,have,21,3434,0.006115317,0.068992871,0.000421913
Northeast Article 5,of,21,1056,0.019886364,0,0
Northeast Article 9,the,21,369,0.056910569,0,0
Northeast Article 10,and,20,731,0.027359781,0,0
Northeast Article 12,trump's,20,2957,0.006763612,2.014903021,0.013628022
Northeast Article 12,will,20,2957,0.006763612,0.143100844,0.000967879
Northeast Article 13,a,20,1826,0.010952903,0,0
Northeast Article 13,will,20,1826,0.010952903,0.143100844,0.00156737
Northeast Article 3,but,20,3434,0.005824112,0.223143551,0.001299613
Northeast Article 3,their,20,3434,0.005824112,0.405465108,0.002361474
Northeast Article 3,with,20,3434,0.005824112,0,0
Northeast Article 11,a,19,1270,0.01496063,0,0
