SEarticles,word,n,total,tf,idf,tf_idf
Southeast Article 15,the,130,1985,0.065491184,0,0
Southeast Article 1,the,115,1932,0.05952381,0,0
Southeast Article 7,the,87,1582,0.054993679,0,0
Southeast Article 15,of,69,1985,0.034760705,0,0
Southeast Article 4,the,69,1151,0.059947871,0,0
Southeast Article 10,the,59,890,0.066292135,0,0
Southeast Article 1,of,54,1932,0.027950311,0,0
Southeast Article 12,the,53,1147,0.046207498,0,0
Southeast Article 13,the,53,913,0.058050383,0,0
Southeast Article 15,in,51,1985,0.025692695,0,0
Southeast Article 1,in,47,1932,0.024327122,0,0
Southeast Article 15,to,47,1985,0.023677582,0,0
Southeast Article 1,is,44,1932,0.022774327,0,0
Southeast Article 3,the,44,768,0.057291667,0,0
Southeast Article 4,a,44,1151,0.038227628,0,0
Southeast Article 7,to,44,1582,0.027812895,0,0
Southeast Article 1,to,43,1932,0.022256729,0,0
Southeast Article 4,to,43,1151,0.037358818,0,0
Southeast Article 5,the,43,885,0.048587571,0,0
Southeast Article 7,a,43,1582,0.027180784,0,0
Southeast Article 1,climate,42,1932,0.02173913,0,0
Southeast Article 1,that,40,1932,0.020703934,0,0
Southeast Article 2,the,40,700,0.057142857,0,0
Southeast Article 8,the,40,680,0.058823529,0,0
Southeast Article 7,of,39,1582,0.024652339,0,0
Southeast Article 9,the,39,680,0.057352941,0,0
Southeast Article 6,the,38,684,0.055555556,0,0
Southeast Article 10,and,37,890,0.041573034,0,0
Southeast Article 6,and,37,684,0.054093567,0,0
Southeast Article 12,and,36,1147,0.031386225,0,0
Southeast Article 7,climate,35,1582,0.022123894,0,0
Southeast Article 11,the,34,748,0.045454545,0,0
Southeast Article 15,a,33,1985,0.016624685,0,0
Southeast Article 15,and,33,1985,0.016624685,0,0
Southeast Article 15,climate,33,1985,0.016624685,0,0
Southeast Article 7,and,33,1582,0.020859671,0,0
Southeast Article 7,in,33,1582,0.020859671,0,0
Southeast Article 1,a,32,1932,0.016563147,0,0
Southeast Article 12,to,32,1147,0.027898867,0,0
Southeast Article 14,the,32,671,0.047690015,0,0
Southeast Article 15,change,32,1985,0.016120907,0,0
Southeast Article 1,and,31,1932,0.016045549,0,0
Southeast Article 10,to,31,890,0.034831461,0,0
Southeast Article 12,of,31,1147,0.027027027,0,0
Southeast Article 15,is,29,1985,0.014609572,0,0
Southeast Article 3,to,29,768,0.037760417,0,0
Southeast Article 4,of,29,1151,0.025195482,0,0
Southeast Article 5,to,29,885,0.032768362,0,0
Southeast Article 13,climate,28,913,0.030668127,0,0
Southeast Article 13,in,28,913,0.030668127,0,0
Southeast Article 15,that,28,1985,0.014105793,0,0
Southeast Article 9,and,28,680,0.041176471,0,0
Southeast Article 10,of,26,890,0.029213483,0,0
Southeast Article 13,a,26,913,0.028477547,0,0
Southeast Article 7,that,26,1582,0.016434893,0,0
Southeast Article 1,it,25,1932,0.012939959,0,0
Southeast Article 13,of,25,913,0.027382256,0,0
Southeast Article 14,a,24,671,0.035767511,0,0
Southeast Article 5,and,24,885,0.027118644,0,0
Southeast Article 5,climate,24,885,0.027118644,0,0
Southeast Article 4,climate,23,1151,0.019982624,0,0
Southeast Article 4,is,23,1151,0.019982624,0,0
Southeast Article 4,said,23,1151,0.019982624,0.223143551,0.004458994
Southeast Article 6,to,23,684,0.033625731,0,0
Southeast Article 8,hurricanes,23,680,0.033823529,1.609437912,0.054436871
Southeast Article 1,more,22,1932,0.011387164,0.143100844,0.001629513
Southeast Article 11,to,22,748,0.029411765,0,0
Southeast Article 12,that,22,1147,0.019180471,0,0
Southeast Article 13,heat,22,913,0.024096386,1.098612289,0.026472585
Southeast Article 3,of,22,768,0.028645833,0,0
Southeast Article 7,florida,22,1582,0.013906448,0.916290732,0.012742349
Southeast Article 9,to,22,680,0.032352941,0,0
Southeast Article 11,a,21,748,0.028074866,0,0
Southeast Article 13,and,21,913,0.023001095,0,0
Southeast Article 2,and,21,700,0.03,0,0
Southeast Article 7,change,21,1582,0.013274336,0,0
Southeast Article 9,of,21,680,0.030882353,0,0
Southeast Article 1,are,20,1932,0.010351967,0.143100844,0.001481375
Southeast Article 14,on,19,671,0.028315946,0,0
Southeast Article 15,will,19,1985,0.009571788,0.310154928,0.002968737
Southeast Article 3,for,19,768,0.024739583,0,0
Southeast Article 7,for,19,1582,0.012010114,0,0
Southeast Article 10,in,18,890,0.020224719,0,0
Southeast Article 11,of,18,748,0.024064171,0,0
Southeast Article 12,a,18,1147,0.015693112,0,0
Southeast Article 14,climate,18,671,0.026825633,0,0
Southeast Article 7,on,18,1582,0.011378003,0,0
Southeast Article 1,change,17,1932,0.008799172,0,0
Southeast Article 10,our,17,890,0.019101124,0.223143551,0.004262293
Southeast Article 13,said,17,913,0.018619934,0.223143551,0.004154918
Southeast Article 14,change,17,671,0.02533532,0,0
Southeast Article 14,in,17,671,0.02533532,0,0
Southeast Article 14,trump,17,671,0.02533532,1.32175584,0.033487108
Southeast Article 2,to,17,700,0.024285714,0,0
Southeast Article 3,and,17,768,0.022135417,0,0
Southeast Article 3,in,17,768,0.022135417,0,0
